[2021-02-24 11:05:37] [INFO] >> TestCase.py >> 第244行  - 用例15：修改客户状态 
[2021-02-24 11:09:38] [INFO] >> TestCase.py >> 第251行  - 用例15：修改客户类别 
[2021-02-24 11:09:40] [INFO] >> CustomerList.py >> 第445行  - 获取全部客户数据 
[2021-02-24 11:09:40] [INFO] >> Requests_util.py >> 第10行  - 请求参：[https://bot.91bihu.com/carbusiness/api/v1/customer/querylist{'pageIndex': 1, 'pageSize': 45, 'selectType': 1, 'topLabel': 'tab_quanbukehu', 'orderBy': {'orderByField': 'updateTime', 'orderByType': 'desc'}, 'isFllowUp': '', 'isDataLable': '', 'dataTag': '', 'dataTypeId': 0, 'lastMaintainDayRange': '', 'isMaintain': 1, 'isOpenGuanjia': 1, 'firstSearch': True}{}] 
[2021-02-24 11:09:43] [INFO] >> CustomerList.py >> 第647行  - 执行modify_category方法 
[2021-02-24 11:09:43] [INFO] >> Requests_util.py >> 第10行  - 请求参：[https://bot.91bihu.com/carbusiness/api/v1/customer/modifyCustomer{'pageIndex': 1, 'pageSize': 15, 'buids': [368941759], 'selectType': 1, 'topLabel': 'tab_quanbukehu', 'orderBy': {'orderByField': 'updateTime', 'orderByType': 'desc'}, 'isFllowUp': '', 'isDataLable': '', 'dataTag': '', 'dataTypeId': 0, 'lastMaintainDayRange': '', 'isMaintain': 1, 'modifyCategoryinfoId': 100034}{}] 
[2021-02-24 11:09:43] [INFO] >> CustomerList.py >> 第656行  - 客户类别修改成功：{'code': 1, 'message': '操作成功', 'data': None} 
[2021-02-24 11:09:43] [INFO] >> Requests_util.py >> 第10行  - 请求参：[https://bot.91bihu.com/carbusiness/api/v1/CustomerDetail/Detial{'buid': '368941759'}{}] 
[2021-02-24 11:09:43] [INFO] >> CustomerList.py >> 第660行  - 校验类别是否修改成功：{'data': {'buid': 368941759, 'categoryinfoName': '类别测试', 'employeeName': '自动化分配账号', 'mantainEmployeeName': '', 'createTime': '2020-02-03 15:48:59', 'nickName': '', 'clientName': '', 'categoryinfoId': 100034, 'clientMobile': '', 'clientMobileOther': '', 'clientAddress': '', 'remark': '', 'intentionRemark': ''}, 'code': 1, 'message': '成功'} 
[2021-02-24 11:34:36] [INFO] >> Requests_util.py >> 第10行  - 请求参：[https://bot.91bihu.com/identity/connect/token{'grant_type': 'password', 'username': 'wanyuanhao', 'password': 'wyh12345', 'scope': 'employee_center car_business smart_car_mgts', 'client_id': 'bot', 'client_secret': 'secret'}{}] 
[2021-02-24 11:34:36] [INFO] >> Headers.py >> 第40行  - token更新到config文件 
[2021-02-24 11:34:36] [INFO] >> Headers.py >> 第42行  - 返回token 
[2021-02-24 11:36:42] [INFO] >> Requests_util.py >> 第10行  - 请求参：[https://bot.91bihu.com/identity/connect/token{'grant_type': 'password', 'username': 'wanyuanhao', 'password': 'wyh12345', 'scope': 'employee_center car_business smart_car_mgts', 'client_id': 'bot', 'client_secret': 'secret'}{}] 
[2021-02-24 11:36:42] [INFO] >> Headers.py >> 第40行  - token更新到config文件 
[2021-02-24 11:36:42] [INFO] >> Headers.py >> 第42行  - 返回token 
[2021-02-24 11:37:13] [INFO] >> Requests_util.py >> 第10行  - 请求参：[https://bot.91bihu.com/identity/api/v1/Login/LoginApi2{'grant_type': 'password', 'username': 'wanyuanhao', 'password': 'wyh12345', 'scope': 'employee_center car_business smart_car_mgts', 'client_id': 'bot', 'client_secret': 'secret'}{}] 
[2021-02-24 11:37:13] [ERROR] >> Headers.py >> 第46行  - token_update_config执行报错：'access_token' 
[2021-02-24 11:38:59] [INFO] >> Requests_util.py >> 第10行  - 请求参：[https://bot.91bihu.com/identity/api/v1/Login/LoginApi2{'grant_type': 'password', 'username': 'wanyuanhao', 'password': 'wyh12345', 'scope': 'employee_center car_business smart_car_mgts', 'client_id': 'bot', 'client_secret': 'secret'}{}] 
[2021-02-24 11:38:59] [ERROR] >> Headers.py >> 第46行  - token_update_config执行报错：'data' 
[2021-02-24 11:40:27] [INFO] >> Requests_util.py >> 第10行  - 请求参：[https://bot.91bihu.com/identity/api/v1/Login/LoginApi2{'grant_type': 'password', 'username': 'wanyuanhao', 'password': 'wyh12345', 'scope': 'employee_center car_business smart_car_mgts', 'client_id': 'bot', 'client_secret': 'secret'}{}] 
[2021-02-24 11:40:27] [ERROR] >> Headers.py >> 第47行  - token_update_config执行报错：'data' 
[2021-02-24 11:41:36] [INFO] >> Requests_util.py >> 第10行  - 请求参：[https://bot.91bihu.com/identity/api/v1/Login/LoginApi2{'grant_type': 'password', 'username': 'wanyuanhao', 'password': 'wyh12345', 'scope': 'employee_center car_business smart_car_mgts', 'client_id': 'bot', 'client_secret': 'secret'}{}] 
[2021-02-24 11:41:37] [ERROR] >> Headers.py >> 第50行  - token_update_config执行报错：'data' 
[2021-02-24 11:42:17] [INFO] >> Requests_util.py >> 第10行  - 请求参：[https://bot.91bihu.com/identity/api/v1/Login/LoginApi2{'grant_type': 'password', 'username': 'wanyuanhao', 'password': 'wyh12345', 'scope': 'employee_center car_business smart_car_mgts', 'client_id': 'bot', 'client_secret': 'secret'}{}] 
[2021-02-24 11:42:18] [ERROR] >> Headers.py >> 第50行  - token_update_config执行报错：'data' 
[2021-02-24 11:42:30] [INFO] >> Requests_util.py >> 第10行  - 请求参：[https://bot.91bihu.com/identity/api/v1/Login/LoginApi2{'grant_type': 'password', 'username': 'wanyuanhao', 'password': 'wyh12345', 'scope': 'employee_center car_business smart_car_mgts', 'client_id': 'bot', 'client_secret': 'secret'}{}] 
[2021-02-24 11:42:31] [INFO] >> Headers.py >> 第45行  - token更新到config文件 
[2021-02-24 11:42:31] [INFO] >> Headers.py >> 第47行  - 返回token 
